|name        |t90     |t90_error|flux_batse_64|flux_batse_64_error|
|GRB090307167|  29.440|    1.810|       0.8079|             0.2558|
|GRB110828575|  44.673|    7.534|       1.7112|             0.4853|
|GRB101021009| 120.770|   12.237|       6.5435|             2.2815|
|GRB091026485|   3.328|    0.779|       2.3528|             0.9582|
|GRB120102416|  20.224|    2.769|       2.3252|             0.5237|
|GRB080805584|  65.665|   14.676|       1.6583|             0.7814|
|GRB080831921|  74.497|    1.243|       2.2372|             0.9326|
|GRB100826957|  84.993|    0.724|      17.4432|             0.9866|
|GRB091018957|   0.192|    0.286|       5.7692|             2.6756|
|GRB100205490|  14.848|    2.290|       1.5845|             0.8036|
|GRB091010113|   5.952|    0.143|      37.3350|             1.7486|
|GRB110730008|  28.416|    2.919|       1.1841|             0.3738|
|GRB090621447|  26.112|    5.655|       1.3675|             0.3570|
|GRB101126198|  43.837|    1.747|       8.8849|             0.9702|
|GRB130219197| 168.003|    2.172|       2.4327|             0.4251|
|GRB100730463|  63.873|    8.776|       2.1970|             0.6678|
|GRB120805706|   1.856|    1.296|       0.7635|             0.4449|
|GRB111203609|  22.016|    6.734|       1.5047|             0.3914|
|GRB111230819|  12.736|    1.145|       4.0995|             0.5693|
|GRB110209165|   5.632|    0.916|       1.6051|             0.5927|
|GRB100304534|  19.008|    2.782|       2.5028|             1.1040|
|GRB110410772|   7.424|    0.810|       1.8111|             0.4883|
|GRB110321346|  30.720|   10.764|       0.6653|             0.3383|
|GRB091120191|  50.177|    2.111|      10.9465|             1.0817|
|GRB100727238|  23.808|    2.769|       0.6586|             0.2494|
|GRB100107074|   0.576|    0.465|       6.4307|             1.4885|
|GRB101216721|   1.917|    0.551|      11.5359|             0.8528|
|GRB100204858|   1.920|    2.375|       1.9996|             0.8645|
|GRB090502777|  66.048|    1.619|       2.9128|             0.5145|
|GRB120922939| 182.275|   19.777|       1.1251|             0.4053|
|GRB111114233|  22.016|    2.673|       1.2362|             0.2951|
|GRB120712571|  22.528|    5.431|       2.4895|             0.4066|
|GRB090520850|   3.776|    0.923|       4.2852|             1.0023|
|GRB080723913|   0.192|    0.345|       2.6242|             0.6576|
|GRB100615083|  37.377|    0.979|       3.4196|             0.8172|
|GRB100324172|  17.920|    2.064|      20.8358|             1.2602|
|GRB091126333|   0.192|    0.091|       6.1876|             0.9152|
|GRB120916085|   1.280|    1.493|       2.5283|             0.3969|
|GRB090426066|  16.128|    5.152|       1.4025|             0.3292|
|GRB091127976|   8.701|    0.571|      31.0804|             2.0418|
|GRB081125496|   9.280|    0.607|      14.9030|             1.8278|
|GRB130325203|   6.912|    0.724|       7.7686|             0.5639|
|GRB080905499|   0.960|    0.345|       4.5539|             0.5659|
|GRB121123442|  42.497|    1.999|       4.0645|             0.6363|
|GRB100126460|  10.624|   12.673|       2.3844|             0.8172|
|GRB090820509|  15.296|    4.610|       4.2518|             0.8167|
|GRB100323542|  60.673|    3.620|       2.3464|             0.9307|
|GRB100820373|   8.960|    2.187|       7.9086|             0.5699|
|GRB081101167|   9.984|    9.051|       1.7261|             0.5312|
|GRB100814160| 150.530|    1.619|       3.4762|             0.5968|
|GRB120212383|   9.216|    0.724|       1.5822|             0.4407|
|GRB090520876|  30.657|    0.859|       2.7061|             0.8589|
|GRB121231445|  32.768|    5.152|       1.4508|             0.4760|
|GRB081012549|  30.721|    5.615|       1.4506|             0.6874|
|GRB111207512|   0.768|    1.145|       1.9027|             0.4482|
|GRB090823133|  58.113|    4.404|       1.5108|             0.4310|
|GRB090810781|  62.977|   11.865|       1.5782|             0.7103|
|GRB120130699|  27.776|    0.694|       4.7176|             0.7902|
|GRB100221368|  23.552|    1.032|       1.3811|             0.6695|
|GRB110204179|  28.672|    6.720|       2.3397|             0.6144|
|GRB101129652|   0.384|    0.143|       7.1727|             0.7296|
|GRB081230871|   0.512|    0.272|       2.3662|             0.6189|
|GRB130310840|  16.000|    2.561|      78.9507|             1.7265|
|GRB110105877| 123.394|    6.476|       4.9437|             0.6981|
|GRB080817720|   4.416|    0.363|       4.1667|             0.9219|
|GRB100224112|  67.329|    6.988|       6.8141|             1.0618|
|GRB130127743|   0.144|    0.804|       4.8473|             0.4791|
|GRB120410585|   1.088|    1.180|       4.6053|             0.5601|
|GRB121119579|   2.304|    0.429|       4.8543|             0.6666|
|GRB090518244|   6.784|    1.000|       3.8505|             1.0000|
|GRB110526715|   0.448|    0.045|       6.4217|             0.8931|
|GRB101030664|  95.746|    4.375|       1.0965|             0.4308|
|GRB080817161|  60.289|    0.466|       8.1360|             1.0415|
|GRB120831901|   0.384|    0.547|       5.3308|             0.7674|
|GRB101201418| 112.639|    7.455|       3.0177|             0.4838|
|GRB111117526|  23.808|    1.717|       1.4938|             0.4135|
|GRB080807993|  19.072|    0.181|       9.2331|             0.8177|
|GRB110410133|  61.952|    1.379|       1.6824|             0.4150|
|GRB110624906|   3.520|    1.134|       0.9119|             0.3402|
